id,business_id,account_type,entry_type,amount,description,created_by,created_at,transaction_id,tracked_account_id
1,1,cash,seed,100000.00,Opening cash balance,1,2026-08-08 13:33:18.519215+03,,
2,1,float,seed,100000.00,Opening float balance,1,2026-08-08 13:33:18.519215+03,,
3,1,float,debit,100000.00,Give money to Amar,1,2026-08-08 13:46:23.424695+03,1,
4,1,tracked,credit,100000.00,Give money to Amar,1,2026-08-08 13:46:23.424695+03,1,1
5,1,cash,debit,100000.00,Give money to Amar,1,2026-08-08 13:46:32.080668+03,2,
6,1,tracked,credit,100000.00,Give money to Amar,1,2026-08-08 13:46:32.080668+03,2,1
7,2,cash,seed,100000.00,Opening cash balance,2,2026-08-08 14:41:12.137642+03,,
8,2,float,seed,1000000.00,Opening float balance,2,2026-08-08 14:41:12.137642+03,,
9,2,cash,debit,10.00,Give money to sam,2,2026-08-08 15:25:27.038305+03,3,
10,2,tracked,credit,10.00,Give money to sam,2,2026-08-08 15:25:27.038305+03,3,3
11,2,cash,credit,1000.00,Receive money from sam,2,2026-08-08 16:06:15.996144+03,4,
12,2,tracked,credit,1000.00,Receive money from sam,2,2026-08-08 16:06:15.996144+03,4,6
13,3,cash,seed,384660.00,Opening cash balance,3,2026-08-08 17:03:00.471248+03,,
14,3,float,seed,115166.00,Opening float balance,3,2026-08-08 17:03:00.471248+03,,
17,3,float,credit,7500.00,Customer M-Pesa withdrawal,3,2026-08-08 17:55:11.949537+03,6,
18,3,cash,debit,7500.00,Customer M-Pesa withdrawal,3,2026-08-08 17:55:11.949537+03,6,
19,3,cash,credit,23460.00,Sale entry,3,2026-08-08 17:56:43.386257+03,7,
21,3,cash,debit,150.00,Felix usafi,3,2026-08-10 09:35:23.18573+03,9,
22,3,cash,debit,5000.00,Hamadi,3,2026-08-10 09:50:31.23222+03,10,
23,3,float,debit,100.00,Juice Karkadee (consumed last Friday),3,2026-08-10 10:49:13.274151+03,11,
24,3,float,credit,400000.00,Owner Float Addition,3,2026-08-10 11:56:43.298441+03,12,
25,3,float,debit,124300.00,Kitwabala,3,2026-08-10 11:57:16.191089+03,13,
26,3,float,credit,28000.00,Customer M-Pesa withdrawal,3,2026-08-10 12:20:43.396317+03,14,
27,3,cash,debit,28000.00,Customer M-Pesa withdrawal,3,2026-08-10 12:20:43.396317+03,14,
29,3,cash,debit,1450.00,Wahesco Delivery ya last week,3,2026-08-10 12:35:50.407541+03,16,
31,3,float,credit,1000.00,Customer M-Pesa withdrawal,3,2026-08-10 14:42:07.694689+03,18,
32,3,cash,debit,1000.00,Customer M-Pesa withdrawal,3,2026-08-10 14:42:07.694689+03,18,
33,3,float,debit,10000.00,Give money to Rupenkumar Patel,3,2026-08-10 14:43:47.822832+03,19,
34,3,tracked,credit,10000.00,Give money to Rupenkumar Patel,3,2026-08-10 14:43:47.822832+03,19,7
35,3,tracked,debit,10000.00,Get money back from Rupenkumar Patel,3,2026-08-10 14:44:00.524908+03,20,7
36,3,cash,credit,10000.00,Get money back from Rupenkumar Patel,3,2026-08-10 14:44:00.524908+03,20,
37,3,cash,credit,6350.00,Sale entry,3,2026-08-10 17:55:18.697307+03,21,
38,3,float,credit,400.00,Sale entry,3,2026-08-10 17:55:39.796854+03,22,
41,3,cash,debit,680.00,mifuko,3,2026-08-11 11:56:59.512198+03,25,
42,3,float,debit,3940.00,soko ndogo,3,2026-08-11 14:52:27.229245+03,26,
43,3,float,credit,2000.00,Customer M-Pesa withdrawal,3,2026-08-11 14:58:10.919232+03,27,
44,3,cash,debit,2000.00,Customer M-Pesa withdrawal,3,2026-08-11 14:58:10.919232+03,27,
47,3,float,debit,1500.00,Swaleh Said Swaleh,3,2026-08-11 15:33:15.963501+03,29,
48,3,float,credit,7300.00,Customer M-Pesa withdrawal,3,2026-08-11 16:02:24.558572+03,30,
49,3,cash,debit,7300.00,Customer M-Pesa withdrawal,3,2026-08-11 16:02:24.558572+03,30,
50,3,cash,debit,100.00,Pasta to zahara,3,2026-08-11 17:04:27.770227+03,31,
51,3,float,debit,13500.00,Cheson Logistics,3,2026-08-11 17:08:18.453826+03,32,
55,3,float,debit,10000.00,Said (T),3,2026-08-12 11:37:58.919162+03,36,
56,3,float,debit,8000.00,Said (Hbb),3,2026-08-12 11:50:40.624689+03,37,
58,3,float,credit,6000.00,Customer M-Pesa withdrawal,3,2026-08-12 13:41:23.914822+03,39,
59,3,cash,debit,6000.00,Customer M-Pesa withdrawal,3,2026-08-12 13:41:23.914822+03,39,
60,3,float,credit,500.00,Customer M-Pesa withdrawal,3,2026-08-12 13:42:18.871096+03,40,
61,3,cash,debit,500.00,Customer M-Pesa withdrawal,3,2026-08-12 13:42:18.871096+03,40,
62,3,cash,debit,100.00,from simba,3,2026-08-12 14:42:17.460445+03,41,
63,3,cash,debit,30.00,Transport to simba,3,2026-08-12 14:42:30.875259+03,38,
66,3,float,debit,320.00,Give money to Rupenkumar Patel,3,2026-08-12 15:35:30.467478+03,43,
67,3,tracked,credit,320.00,Give money to Rupenkumar Patel,3,2026-08-12 15:35:30.467478+03,43,7
68,3,tracked,debit,320.00,Get money back from Rupenkumar Patel,3,2026-08-12 15:35:47.489244+03,44,7
69,3,cash,credit,320.00,Get money back from Rupenkumar Patel,3,2026-08-12 15:35:47.489244+03,44,
70,3,cash,debit,500.00,Give money to Ammar Batheif,3,2026-08-12 15:38:14.853287+03,45,
71,3,tracked,credit,500.00,Give money to Ammar Batheif,3,2026-08-12 15:38:14.853287+03,45,9
72,3,tracked,debit,500.00,Get money back from Ammar Batheif,3,2026-08-12 15:39:02.597298+03,46,9
73,3,float,credit,500.00,Get money back from Ammar Batheif,3,2026-08-12 15:39:02.597298+03,46,
76,3,float,credit,65000.00,Customer M-Pesa withdrawal,3,2026-08-12 15:42:30.06759+03,48,
77,3,cash,debit,65000.00,Customer M-Pesa withdrawal,3,2026-08-12 15:42:30.06759+03,48,
78,3,float,credit,2000.00,Customer M-Pesa withdrawal,3,2026-08-12 15:42:50.91057+03,49,
79,3,cash,debit,2000.00,Customer M-Pesa withdrawal,3,2026-08-12 15:42:50.91057+03,49,
80,3,float,debit,80000.00,Give money to Amar Maery,3,2026-08-12 17:55:12.074901+03,50,
81,3,tracked,credit,80000.00,Give money to Amar Maery,3,2026-08-12 17:55:12.074901+03,50,10
