id,type,amount,description,reference,person_id,created_by,created_at,updated_at,business_id,amount_received,change_amount,payment_method
1,transfer,100000.00,Give money to Amar,,,1,2026-08-08 13:46:23.424695+03,,1,,0.00,
2,transfer,100000.00,Give money to Amar,,,1,2026-08-08 13:46:32.080668+03,,1,,0.00,
3,transfer,10.00,Give money to sam,,,2,2026-08-08 15:25:27.038305+03,,2,,0.00,
4,transfer,1000.00,Receive money from sam,,,2,2026-08-08 16:06:15.996144+03,,2,,0.00,
6,withdrawal,7500.00,Customer M-Pesa withdrawal,,,3,2026-08-08 17:55:11.949537+03,,3,,0.00,
7,sale,23460.00,,,,3,2026-08-08 17:56:43.386257+03,,3,23460.00,0.00,cash
9,expense,150.00,Felix usafi,,,3,2026-08-10 09:35:23.18573+03,,3,,0.00,cash
10,expense,5000.00,Hamadi,,,3,2026-08-10 09:50:31.23222+03,,3,,0.00,cash
11,expense,100.00,Juice Karkadee (consumed last Friday),,,3,2026-08-10 10:49:13.274151+03,,3,,0.00,mpesa
12,add_float,400000.00,Owner Float Addition,,,3,2026-08-10 11:56:43.298441+03,,3,,0.00,
13,expense,124300.00,Kitwabala,,,3,2026-08-10 11:57:16.191089+03,,3,,0.00,mpesa
14,withdrawal,28000.00,Customer M-Pesa withdrawal,,,3,2026-08-10 12:20:43.396317+03,,3,,0.00,
15,expense,900.00,Hamid Salim ( 2 cartons ),,,3,2026-08-10 12:31:38.809572+03,,3,,0.00,mpesa
16,expense,1450.00,Wahesco Delivery ya last week,,,3,2026-08-10 12:35:50.407541+03,,3,,0.00,cash
17,expense,300.00,mzungu to lamu parcel,,,3,2026-08-10 13:52:43.120593+03,,3,,0.00,mpesa
18,withdrawal,1000.00,Customer M-Pesa withdrawal,,,3,2026-08-10 14:42:07.694689+03,,3,,0.00,
19,transfer,10000.00,Give money to Rupenkumar Patel,,,3,2026-08-10 14:43:47.822832+03,,3,,0.00,
20,transfer,10000.00,Get money back from Rupenkumar Patel,,,3,2026-08-10 14:44:00.524908+03,,3,,0.00,
